温度，oC,频率，Hz,磁芯损耗，w/m3,max_value,励磁波形
25,89090,542772.7158,0.217606743,正弦波
25,89080,711545.3171,0.244854323,正弦波
25,89090,896343.4213,0.268636473,正弦波
25,99950,1299.233133,0.017495601,正弦波
25,99950,1755.831126,0.019720085,正弦波
25,99950,2390.408185,0.02220843,正弦波
25,99950,3242.978165,0.024681526,正弦波
25,99960,5892.742949,0.03122402,正弦波
25,99950,7874.71143,0.034952926,正弦波
25,99950,10735.42591,0.039449802,正弦波
25,99950,14477.24774,0.044490687,正弦波
25,99950,18907.91771,0.049435027,正弦波
25,99950,42837.66482,0.069943588,正弦波
25,99950,74230.01899,0.08788999,正弦波
25,99950,99316.153,0.099362171,正弦波
25,99950,281919.8367,0.153915662,正弦波
25,99950,371891.5855,0.173215306,正弦波
25,99950,486551.2281,0.194284479,正弦波
25,99950,642255.3272,0.21943652,正弦波
25,99950,808495.9048,0.240632924,正弦波
25,99950,1026883.575,0.267734381,正弦波
25,112170,1114.703914,0.015975163,正弦波
25,112160,1964.803519,0.019741064,正弦波
25,112160,3628.229323,0.024608916,正弦波
25,112160,4949.221631,0.027794398,正弦波
25,112160,6603.373697,0.031126252,正弦波
25,112170,9111.892514,0.035171125,正弦波
25,112160,21305.04772,0.049359233,正弦波
25,112160,28708.38837,0.055652012,正弦波
25,112160,36731.5784,0.062027007,正弦波
25,112160,49122.63239,0.069874831,正弦波
25,112160,64903.79723,0.078351184,正弦波
25,112160,114103.3322,0.099044051,正弦波
25,112160,194634.2954,0.123227204,正弦波
25,112160,329555.1343,0.1543252,正弦波
25,112160,432205.1043,0.172992239,正弦波
25,112160,579176.7738,0.196221242,正弦波
25,112160,737413.5818,0.216041922,正弦波
25,112160,1223675.078,0.270371332,正弦波
25,125860,1472.545902,0.016809481,正弦波
25,125850,2256.015194,0.01951368,正弦波
25,125860,3084.707485,0.02202354,正弦波
25,125860,4200.974078,0.024776975,正弦波
25,125850,5525.178254,0.027612562,正弦波
25,125860,13775.45003,0.039222905,正弦波
25,125850,18310.96022,0.043920196,正弦波
25,125860,24421.93184,0.049366352,正弦波
25,125860,32684.68129,0.055469865,正弦波
25,125860,56884.91087,0.070010584,正弦波
25,125850,76878.8708,0.079050599,正弦波
25,125860,172790.731,0.109835002,正弦波
25,125860,516365.5506,0.174572498,正弦波
25,125860,679260.437,0.194586228,正弦波
25,141250,1402.690272,0.015722493,正弦波
25,141260,3564.3754,0.022030551,正弦波
25,141270,4792.365224,0.024652885,正弦波
25,141270,8888.402923,0.031370492,正弦波
25,141260,20972.82318,0.043845564,正弦波
25,141260,37837.05515,0.055440615,正弦波
25,141260,49742.16541,0.062379155,正弦波
25,141260,67223.83993,0.070299404,正弦波
25,141270,89782.66539,0.07901177,正弦波
25,141260,266704.6966,0.123182119,正弦波
25,141260,357572.7731,0.13939671,正弦波
25,141260,619011.8338,0.174385105,正弦波
25,141260,1026071.684,0.217229144,正弦波
25,158500,1187.754171,0.013945684,正弦波
25,158500,1192.605834,0.013962225,正弦波
25,158500,1641.045747,0.015521718,正弦波
25,158500,3044.949531,0.019662871,正弦波
25,158500,4080.613099,0.022001189,正弦波
25,158510,5648.015608,0.024795404,正弦波
25,158500,13587.381,0.034832921,正弦波
25,158500,18242.28949,0.039070247,正弦波
25,158510,24635.10959,0.043889165,正弦波
25,158510,33238.5309,0.049446777,正弦波
25,158500,44430.17965,0.055538822,正弦波
25,158500,59069.01523,0.062594576,正弦波
25,158500,79066.42767,0.070340831,正弦波
25,158500,107275.1057,0.07868076,正弦波
25,158500,139304.1316,0.08764964,正弦波
25,158500,183014.8648,0.098134995,正弦波
25,158510,237859.9575,0.109393539,正弦波
25,158500,320931.3637,0.124021868,正弦波
25,158500,556312.9256,0.155127902,正弦波
25,177820,1455.296582,0.0138175,正弦波
25,177820,1947.216719,0.015486937,正弦波
25,177820,2619.028052,0.017448006,正弦波
25,177830,3573.989819,0.019641038,正弦波
25,177820,4896.646627,0.022118764,正弦波
25,177820,8757.571039,0.027699311,正弦波
25,177820,15704.90259,0.034647347,正弦波
25,177820,21387.24118,0.039029124,正弦波
25,177820,29039.82633,0.044044588,正弦波
25,177820,38777.3922,0.049356749,正弦波
25,177820,51692.85659,0.055604989,正弦波
25,177820,69575.88416,0.06254484,正弦波
25,177820,94829.7604,0.069932977,正弦波
25,177820,123936.1788,0.077929871,正弦波
25,177820,216240.5996,0.097972878,正弦波
25,177820,290107.5928,0.110556402,正弦波
25,177820,381807.5464,0.124066086,正弦波
25,177820,508254.8668,0.138760394,正弦波
25,199500,1359.728946,0.012814663,正弦波
25,199500,1295.823376,0.012308796,正弦波
25,199500,1713.519808,0.013811621,正弦波
25,199510,3131.491897,0.017493501,正弦波
25,199500,4293.7631,0.019708545,正弦波
25,199500,5780.063046,0.022094211,正弦波
25,199500,7703.877937,0.024630936,正弦波
25,199500,13727.56106,0.030904106,正弦波
25,199500,18846.99738,0.034832872,正弦波
25,199500,34431.32807,0.044037148,正弦波
25,199500,46554.40586,0.049523869,正弦波
25,199500,61598.99788,0.055728353,正弦波
25,199510,84808.51689,0.062311667,正弦波
25,199500,109976.8533,0.069162306,正弦波
25,199500,147898.0434,0.07801177,正弦波
25,199500,195279.9663,0.08743553,正弦波
25,199500,263199.8984,0.098734801,正弦波
25,199500,584646.126,0.136679366,正弦波
25,199500,778826.1991,0.154512417,正弦波
25,223850,1741.014541,0.012876639,正弦波
25,223850,1568.169639,0.012336084,正弦波
25,223850,2071.805286,0.01383457,正弦波
25,223850,3794.890527,0.017508207,正弦波
25,223850,12211.32658,0.027588814,正弦波
25,223850,16267.93111,0.030793354,正弦波
25,223850,22632.85134,0.034926988,正弦波
25,223850,41569.50494,0.044218617,正弦波
25,223850,56012.09577,0.049662119,正弦波
25,223850,98906.6499,0.06175435,正弦波
25,223850,237281.9938,0.087801203,正弦波
25,223850,314961.8538,0.098621585,正弦波
25,223850,544722.457,0.122880992,正弦波
25,223850,709348.3739,0.137569552,正弦波
25,251170,2262.910587,0.013055732,正弦波
25,251170,1948.042054,0.012350213,正弦波
25,251170,2592.256897,0.013895429,正弦波
25,251170,4704.915331,0.017585679,正弦波
25,251170,6166.926736,0.019584593,正弦波
25,251170,10941.64448,0.024474401,正弦波
25,251170,14874.62098,0.02763783,正弦波
25,251170,27126.64693,0.034854894,正弦波
25,251170,37101.17357,0.039314917,正弦波
25,251170,50336.60598,0.044278576,正弦波
25,251170,69303.99422,0.049477092,正弦波
25,251170,90837.14978,0.055073229,正弦波
25,251170,120548.5034,0.062030123,正弦波
25,251170,160968.1046,0.069597596,正弦波
25,251170,216823.809,0.078401437,正弦波
25,251170,286943.8736,0.087842406,正弦波
25,251170,385325.0273,0.098237658,正弦波
25,281860,2889.53144,0.013174327,正弦波
25,281850,2480.678594,0.012419281,正弦波
25,281850,3297.714089,0.013950231,正弦波
25,281850,4341.331734,0.015631339,正弦波
25,281850,5670.629505,0.017402733,正弦波
25,281860,13623.67457,0.024614345,正弦波
25,281860,18325.83964,0.027701809,正弦波
25,281850,24592.22803,0.031091931,正弦波
25,281850,33679.40394,0.035072535,正弦波
25,281860,45459.87546,0.03937798,正弦波
25,281850,62572.44922,0.044022337,正弦波
25,281850,82051.91465,0.048995119,正弦波
25,281850,110783.9294,0.055179595,正弦波
25,281850,145390.1865,0.061878201,正弦波
25,281850,196252.4584,0.069662351,正弦波
50,50020,1095.616077,0.027998459,正弦波
50,50020,1909.33587,0.035006203,正弦波
50,50020,2623.160983,0.039650286,正弦波
50,50020,3549.272659,0.044578536,正弦波
50,50030,4845.135951,0.049706125,正弦波
50,50020,6351.403688,0.055451868,正弦波
50,50020,11029.67308,0.069939301,正弦波
50,50020,15113.44827,0.079443092,正弦波
50,50020,19940.16763,0.088725899,正弦波
50,50030,26026.23789,0.098551216,正弦波
50,50020,34262.29336,0.110265433,正弦波
50,50030,45874.56082,0.12397918,正弦波
50,50020,105597.3536,0.173196957,正弦波
50,50020,144536.8874,0.19551568,正弦波
50,50020,189925.2011,0.217654229,正弦波
50,50030,323386.9029,0.268012712,正弦波
50,56320,978.4264497,0.024521882,正弦波
50,56320,1322.360361,0.027655346,正弦波
50,56320,2344.433168,0.034964592,正弦波
50,56320,3171.45816,0.039496578,正弦波
50,56320,4277.388038,0.04389466,正弦波
50,56320,7514.230322,0.055553153,正弦波
50,56320,9956.432911,0.062442329,正弦波
50,56320,22401.88282,0.087358333,正弦波
50,56320,51530.81264,0.122811269,正弦波
50,56320,69788.57213,0.138376074,正弦波
50,56320,220116.1066,0.216832187,正弦波
50,56310,374065.9706,0.267619021,正弦波
50,63020,805.9127383,0.021632009,正弦波
50,63020,1133.209213,0.024773185,正弦波
50,63020,1497.701442,0.027810307,正弦波
50,63020,2659.779691,0.035189585,正弦波
50,63030,3616.413798,0.039062547,正弦波
50,63020,11494.72838,0.062647305,正弦波
50,63020,19243.53155,0.07789647,正弦波
50,63020,25703.58543,0.087691368,正弦波
50,63020,33873.21869,0.098223497,正弦波
50,63020,45187.74242,0.110467422,正弦波
50,63020,59602.37429,0.123523476,正弦波
50,63020,79323.33333,0.138102074,正弦波
50,63020,108629.5997,0.156580873,正弦波
50,63020,191311.8669,0.195149461,正弦波
50,63020,249461.3838,0.216329891,正弦波
50,63030,427142.3839,0.268199429,正弦波
50,70830,927.258475,0.021885032,正弦波
50,70830,1243.598131,0.024691335,正弦波
50,70830,1716.460317,0.027859672,正弦波
50,70840,3092.694422,0.034900975,正弦波
50,70840,4083.403273,0.039039985,正弦波
50,70840,9807.160843,0.055572087,正弦波
50,70840,16701.43194,0.069623831,正弦波
50,70840,28733.10879,0.086722351,正弦波
50,70840,52609.57548,0.110686917,正弦波
50,70840,383820.4649,0.241624391,正弦波
50,70840,522759.9608,0.273035525,正弦波
50,79460,778.1715275,0.019567056,正弦波
50,79460,1057.340411,0.022031842,正弦波
50,79470,1408.347747,0.024758303,正弦波
50,79470,1914.446848,0.027923998,正弦波
50,79460,2619.833509,0.031051421,正弦波
50,79460,3358.272558,0.034555209,正弦波
50,79460,6196.269592,0.044100961,正弦波
50,79460,8411.541611,0.049730168,正弦波
50,79460,14671.43686,0.062124413,正弦波
50,79460,25213.52305,0.078071297,正弦波
50,79460,32922.90003,0.086898174,正弦波
50,79460,59518.79178,0.110077958,正弦波
50,79460,81770.16356,0.124486035,正弦波
50,79460,109005.8457,0.13941442,正弦波
50,79460,191579.1859,0.173218041,正弦波
50,79460,255525.1192,0.193916428,正弦波
50,79460,341579.3928,0.217311265,正弦波
50,89080,869.3314017,0.019552155,正弦波
50,89080,1209.671781,0.022098567,正弦波
50,89080,2211.8587,0.027643176,正弦波
50,89080,2968.048897,0.030949595,正弦波
50,89080,3953.386891,0.034915392,正弦波
50,89080,7125.09244,0.044062899,正弦波
50,89080,9613.206009,0.049632563,正弦波
50,89080,12510.94661,0.055116437,正弦波
50,89090,21709.11751,0.069482548,正弦波
50,89080,29302.81562,0.078224844,正弦波
50,89080,52515.80528,0.098490845,正弦波
50,89080,71214.73311,0.1109429,正弦波
50,89090,95692.06829,0.124518428,正弦波
50,89090,164004.0721,0.15318928,正弦波
50,89080,222966.1134,0.172778754,正弦波
50,89090,299341.3213,0.193645746,正弦波
50,99950,993.1452072,0.019616864,正弦波
50,99950,1358.636001,0.022061641,正弦波
50,99960,1896.952399,0.024708531,正弦波
50,99950,2514.323963,0.027661113,正弦波
50,99950,4450.983841,0.034926399,正弦波
50,99950,6016.132491,0.039242214,正弦波
50,99950,8213.583988,0.044272039,正弦波
50,99950,10691.6548,0.049128126,正弦波
50,99950,14180.43445,0.055037992,正弦波
50,99950,19258.68453,0.062041794,正弦波
50,99950,24954.9899,0.069379747,正弦波
50,99950,33773.96405,0.078234722,正弦波
50,99950,45016.12152,0.087603536,正弦波
50,99950,61682.11388,0.098908447,正弦波
50,99950,82409.82889,0.110758218,正弦波
50,99950,145360.8569,0.137304896,正弦波
50,99950,196926.3359,0.154728446,正弦波
50,99950,259939.8297,0.17238953,正弦波
50,99950,355880.6652,0.19457772,正弦波
50,99950,479177.7654,0.21868474,正弦波
50,99950,619685.956,0.240161141,正弦波
50,99950,821036.215,0.268736966,正弦波
50,112160,739.8215625,0.016633515,正弦波
50,112160,835.4853336,0.01752117,正弦波
50,112160,1143.163558,0.019750222,正弦波
50,112160,2098.810441,0.024521289,正弦波
50,112170,2838.707823,0.027594493,正弦波
50,112170,5186.650045,0.035061204,正弦波
50,112170,7059.64503,0.039450678,正弦波
50,112150,12269.25192,0.049024531,正弦波
50,112160,16543.32032,0.055203719,正弦波
50,112160,22183.00785,0.06183085,正弦波
50,112160,29349.51758,0.069701364,正弦波
50,112160,39278.81673,0.078105099,正弦波
50,112160,54053.59161,0.088343006,正弦波
50,112160,72281.36189,0.098854085,正弦波
50,112160,98510.8538,0.110629554,正弦波
50,112160,129520.7229,0.12304712,正弦波
50,112160,314222.2027,0.173881567,正弦波
50,112160,733865.3511,0.240593612,正弦波
50,112160,968499.8293,0.269372698,正弦波
50,125850,951.481771,0.017335345,正弦波
50,125850,983.3822228,0.017516351,正弦波
50,125860,1817.624491,0.021765693,正弦波
50,125860,3326.960389,0.027683399,正弦波
50,125860,4543.843552,0.031208136,正弦波
50,125860,6062.379548,0.035146279,正弦波
50,125860,7868.949799,0.038888061,正弦波
50,125860,14409.12046,0.04922402,正弦波
50,125860,19296.03239,0.055066589,正弦波
50,125860,47211.21881,0.07867047,正弦波
50,125850,87351.97459,0.098687537,正弦波
50,125860,114483.3823,0.109824756,正弦波
50,125860,207436.5315,0.138384451,正弦波
50,125860,280098.7363,0.155718829,正弦波
50,125860,375312.9687,0.174476612,正弦波
50,125850,664504.626,0.216414055,正弦波
50,125860,888278.957,0.243210876,正弦波
50,141260,891.0644612,0.015738291,正弦波
50,141270,861.0731092,0.015593711,正弦波
50,141270,1195.612953,0.017402217,正弦波
50,141260,2898.435212,0.024680658,正弦波
50,141260,5406.004941,0.031337743,正弦波
50,141270,6943.519876,0.034783702,正弦波
50,141260,9229.404894,0.038797454,正弦波
50,141260,12557.26737,0.043733229,正弦波
50,141260,17064.0813,0.049132439,正弦波
50,141260,31020.95035,0.062013818,正弦波
50,141260,183833.8566,0.123161536,正弦波
50,141260,251465.9823,0.139124131,正弦波
50,141260,331266.0538,0.155056133,正弦波
50,141260,454595.3958,0.17382346,正弦波
50,141260,590803.9623,0.192768021,正弦波
50,141260,792323.5259,0.21678138,正弦波
50,158500,811.244311,0.01422593,正弦波
50,158500,777.0210248,0.013946262,正弦波
50,158500,1078.913049,0.015458047,正弦波
50,158500,1443.438183,0.017420122,正弦波
50,158500,2618.379464,0.022021054,正弦波
50,158500,3531.156728,0.024764468,正弦波
50,158500,6286.854328,0.030948021,正弦波
50,158500,8263.579464,0.03457692,正弦波
50,158500,10938.67761,0.038627022,正弦波
50,158500,15114.43125,0.043714109,正弦波
50,158510,37383.75204,0.061898727,正弦波
50,158500,50514.39404,0.070119391,正弦波
50,158510,70153.48663,0.078476968,正弦波
50,158500,90902.25109,0.08683888,正弦波
50,158500,124490.291,0.09823492,正弦波
50,158500,164612.2355,0.109678222,正弦波
50,158500,299771.0466,0.138414106,正弦波
50,158500,708203.9434,0.192894905,正弦波
50,177820,1059.696965,0.014412262,正弦波
50,177830,1306.918875,0.015484984,正弦波
50,177820,1778.998935,0.01742876,正弦波
50,177820,2370.689654,0.019525729,正弦波
50,177820,3203.167708,0.022023153,正弦波
50,177820,4344.275323,0.024755766,正弦波
50,177820,7607.319762,0.030890647,正弦波
50,177820,18611.75563,0.043893735,正弦波
50,177820,24998.50716,0.049180041,正弦波
50,177820,34254.35616,0.055544778,正弦波
50,177820,46303.52633,0.062390692,正弦波
50,177820,63079.5044,0.069821552,正弦波
50,177820,82386.03548,0.077483637,正弦波
50,177820,149715.0746,0.097873093,正弦波
50,177820,275143.6946,0.124102777,正弦波
50,177820,373207.7538,0.13862746,正弦波
50,177820,483004.2226,0.153796987,正弦波
50,177820,648264.9563,0.173010224,正弦波
50,199500,1032.120321,0.012983096,正弦波
50,199500,1236.499405,0.01379803,正弦波
50,199500,2220.87404,0.017489743,正弦波
50,199500,3012.929607,0.019701833,正弦波
50,199500,5310.013049,0.024628517,正弦波
50,199500,6952.35196,0.027409964,正弦波
50,199500,9325.626351,0.030784985,正弦波
50,199500,12589.23154,0.03476988,正弦波
50,199500,17054.31137,0.039065915,正弦波
50,199500,22976.95692,0.043919328,正弦波
50,199500,31236.54917,0.04939681,正弦波
50,199510,138016.1924,0.087508309,正弦波
50,199500,339754.072,0.123428458,正弦波
50,199500,442298.9101,0.137271009,正弦波
50,199500,588559.4414,0.154182,正弦波
50,223850,1404.881552,0.013015266,正弦波
50,223850,1622.907587,0.01385603,正弦波
50,223860,2132.567199,0.015541611,正弦波
50,223850,5037.560801,0.021951836,正弦波
50,223850,11919.61205,0.03092454,正弦波
50,223850,15927.82703,0.034822555,正弦波
50,223850,21477.21408,0.039140786,正弦波
50,223850,29115.33136,0.044087924,正弦波
50,223850,71651.5642,0.061747903,正弦波
50,223850,96084.04349,0.069372482,正弦波
50,223850,172231.8907,0.087865835,正弦波
50,223850,231702.7744,0.098732573,正弦波
50,223850,313217.4554,0.110171803,正弦波
50,223850,411101.4334,0.122824322,正弦波
50,223860,544036.5187,0.137627747,正弦波
50,251170,1909.545944,0.013164575,正弦波
50,251170,2125.681827,0.013831316,正弦波
50,251170,2832.109432,0.015603729,正弦波
50,251170,3794.321716,0.017544949,正弦波
50,251170,4917.008595,0.019522764,正弦波
50,251170,6415.244137,0.02173624,正弦波
50,251170,8651.717901,0.024547129,正弦波
50,251170,11540.36978,0.027598404,正弦波
50,251170,15469.20412,0.031027256,正弦波
50,251170,27632.14166,0.039270697,正弦波
50,251170,37315.90865,0.044219689,正弦波
50,251170,51295.24941,0.049425597,正弦波
50,251170,66381.67197,0.054761816,正弦波
50,251170,160727.2771,0.078321533,正弦波
50,251170,288667.7834,0.097815971,正弦波
50,251170,377414.5799,0.109009189,正弦波
50,281860,2268.111524,0.012439124,正弦波
50,281850,2923.608712,0.013907105,正弦波
50,281860,3829.823876,0.015606848,正弦波
50,281860,4979.143585,0.017380722,正弦波
50,281850,6543.554438,0.01949311,正弦波
50,281850,8543.608971,0.021782971,正弦波
50,281850,26900.6113,0.035045244,正弦波
50,281850,35884.76692,0.039364033,正弦波
50,281850,49073.22009,0.044004702,正弦波
50,281850,64079.11164,0.048988635,正弦波
50,281850,86189.62224,0.055314875,正弦波
50,281850,113588.7053,0.061768758,正弦波
70,50020,689.8457043,0.027606042,正弦波
70,50030,920.1997399,0.031056944,正弦波
70,50020,1658.894966,0.0394536,正弦波
70,50020,2222.131156,0.044459879,正弦波
70,50030,3046.413828,0.049404605,正弦波
70,50030,3997.646339,0.055349644,正弦波
70,50030,5435.800204,0.062277726,正弦波
70,50030,7240.807122,0.069753541,正弦波
70,50020,9686.04943,0.079020157,正弦波
70,50030,13169.05016,0.088328632,正弦波
70,50020,61747.45772,0.15607577,正弦波
70,50020,83848.17663,0.174210382,正弦波
70,50020,117081.5997,0.196136801,正弦波
70,50020,213114.1391,0.245075969,正弦波
70,56320,810.7764625,0.027565298,正弦波
70,56320,1420.449995,0.034917884,正弦波
70,56320,1915.29465,0.039277202,正弦波
70,56320,2650.008769,0.043895425,正弦波
70,56320,3483.156534,0.048865895,正弦波
70,56320,4726.887111,0.055264267,正弦波
70,56320,6344.782869,0.062064576,正弦波
70,56310,8601.823602,0.06987315,正弦波
70,56320,11304.20021,0.078498853,正弦波
70,56310,14758.93898,0.087159384,正弦波
70,56310,27394.67029,0.109419326,正弦波
70,56310,37374.39757,0.122649963,正弦波
70,56320,52032.4859,0.138282435,正弦波
70,56320,99013.81821,0.174641081,正弦波
70,56320,134923.4597,0.19515513,正弦波
70,56320,182082.033,0.218425155,正弦波
70,56310,234476.0557,0.240290153,正弦波
70,56320,322173.7612,0.270823931,正弦波
70,63020,689.6302384,0.024597768,正弦波
70,63020,914.1884886,0.027537705,正弦波
70,63020,1634.403121,0.035142826,正弦波
70,63020,2250.012466,0.039143764,正弦波
70,63020,3001.069963,0.043745043,正弦波
70,63020,4015.747686,0.049142517,正弦波
70,63020,5424.1358,0.055268866,正弦波
70,63020,7324.569887,0.062224249,正弦波
70,63020,9964.628084,0.070046061,正弦波
70,63020,12658.72226,0.077701092,正弦波
70,63020,17151.48798,0.087154725,正弦波
70,63020,31461.70215,0.10937969,正弦波
70,63020,43991.76265,0.123573522,正弦波
70,63020,84883.82925,0.156269494,正弦波
70,63020,115859.0423,0.174777515,正弦波
70,63020,157296.9327,0.195442059,正弦波
70,63020,206612.8175,0.215991506,正弦波
70,63030,370566.4934,0.269224982,正弦波
70,70840,784.7889109,0.024622381,正弦波
70,70840,1061.171134,0.027736082,正弦波
70,70830,1411.641315,0.031247118,正弦波
70,70840,1903.454728,0.034687657,正弦波
70,70830,3470.119381,0.043977047,正弦波
70,70840,6251.862154,0.055464851,正弦波
70,70840,8516.618515,0.062416037,正弦波
70,70840,19870.13212,0.087220945,正弦波
70,70830,27104.88703,0.097900734,正弦波
70,70840,72377.73703,0.139209642,正弦波
70,70840,98356.36393,0.155595276,正弦波
70,70830,181651.193,0.194026581,正弦波
70,70830,244958.5314,0.216642627,正弦波
70,70840,453006.1537,0.273120293,正弦波
70,79460,875.1677313,0.024736734,正弦波
70,79460,1194.215092,0.027890117,正弦波
70,79460,3909.69399,0.043942699,正弦波
70,79460,7082.300556,0.055572164,正弦波
70,79470,12346.53801,0.068755715,正弦波
70,79470,22679.30644,0.087155957,正弦波
70,79460,31833.39317,0.098449162,正弦波
70,79460,43428.80689,0.110139829,正弦波
70,79460,83971.54587,0.139152029,正弦波
70,79460,116186.235,0.155755987,正弦波
70,79460,214516.687,0.19446486,正弦波
70,79460,532551.5835,0.273443699,正弦波
70,89080,1039.644333,0.024766764,正弦波
70,89090,1432.160788,0.027619955,正弦波
70,89080,1925.019466,0.030927827,正弦波
70,89080,3365.229503,0.039139079,正弦波
70,89080,6236.918915,0.049667514,正弦波
70,89080,10644.87113,0.061175602,正弦波
70,89080,26992.30288,0.08745552,正弦波
70,89080,52190.9005,0.110675458,正弦波
70,89080,71823.63711,0.123995547,正弦波
70,89080,133595.5401,0.154118913,正弦波
70,89090,251993.1817,0.193917481,正弦波
70,89080,343065.9261,0.217327592,正弦波
70,89090,614025.9364,0.268415951,正弦波
70,99960,889.111964,0.022118873,正弦波
70,99950,1232.242331,0.024597322,正弦波
70,99950,2184.525096,0.030973623,正弦波
70,99950,3956.657481,0.039344018,正弦波
70,99950,5307.631418,0.044055492,正弦波
70,99950,6953.236194,0.049083705,正弦波
70,99950,12624.537,0.061703365,正弦波
70,99950,23246.27222,0.078062478,正弦波
70,99950,31824.85785,0.087476443,正弦波
70,99950,44519.72675,0.098661026,正弦波
70,99950,61359.14384,0.110694024,正弦波
70,99950,113538.8022,0.136842671,正弦波
70,99950,540557.6199,0.240524846,正弦波
70,99950,709895.3756,0.267341326,正弦波
70,112160,779.0517616,0.019684079,正弦波
70,112160,1082.936759,0.021867282,正弦波
70,112160,1425.887502,0.02448564,正弦波
70,112160,1940.259974,0.027689047,正弦波
